chrom	feature	4D_pi
OX359250.1	g266	NaN
OX359250.1	g267	NaN
OX359250.1	g268	NaN
OX359250.1	g269	NaN
OX359250.1	g270	NaN
OX359250.1	g271	NaN
OX359250.1	g272	NaN
OX359250.1	g273	NaN
OX359250.1	g274	NaN
OX359250.1	g275	NaN
OX359250.1	g276	NaN
OX359250.1	g277	NaN
OX359250.1	g278	NaN
OX359250.1	g279	NaN
OX359250.1	g280	0.0016842929886408146
OX359250.1	g281	NaN
OX359250.1	g282	NaN
OX359250.1	g283	NaN
OX359250.1	g284	NaN
OX359250.1	g285	NaN
OX359250.1	g286	NaN
OX359250.1	g287	NaN
OX359250.1	g288	NaN
OX359250.1	g289	NaN
OX359250.1	g290	NaN
OX359250.1	g291	NaN
OX359250.1	g292	NaN
OX359250.1	g293	0.0
OX359250.1	g294	NaN
OX359250.1	g295	NaN
OX359250.1	g296	NaN
OX359250.1	g297	NaN
OX359250.1	g298	NaN
OX359250.1	g299	NaN
OX359250.1	g300	0.0
OX359250.1	g301	0.0
OX359250.1	g302	NaN
OX359250.1	g303	NaN
OX359250.1	g304	NaN
OX359250.1	g305	0.001152832674571805
OX359250.1	g306	NaN
OX359250.1	g307	0.0024255233494363928
OX359250.1	g308	NaN
OX359250.1	g309	NaN
OX359250.1	g310	NaN
OX359250.1	g311	0.004755434782608696
OX359250.1	g312	NaN
OX359250.1	g313	0.0
OX359250.1	g314	NaN
OX359250.1	g315	0.0016842164855072465
OX359250.1	g316	NaN
OX359250.1	g317	NaN
OX359250.1	g318	0.00981922602528523
OX359250.1	g319	NaN
OX359250.1	g320	NaN
OX359250.1	g321	0.026125341721903908
OX359250.1	g322	0.010778985507246378
OX359250.1	g323	0.025869565217391307
OX359250.1	g324	0.008292245629762439
OX359250.1	g325	0.01667244067209423
OX359250.1	g326	0.0005367686527106817
OX359250.1	g327	NaN
OX359250.1	g328	0.0
OX359250.1	g329	0.002702038811102923
OX359250.1	g330	0.0013623978201634877
OX359250.1	g331	0.0035467498318351373
OX359250.1	g332	0.01051731078904992
OX359250.1	g333	0.005367231638418079
OX359250.1	g334	NaN
OX359250.1	g335	NaN
OX359250.1	g336	0.014588100686498854
OX359250.1	g337	0.001016260162601626
OX359250.1	g338	NaN
OX359250.1	g339	0.0006642512077294685
OX359250.1	g340	0.015171199260927306
OX359250.1	g341	0.005858561827157557
OX359250.1	g342	0.003562101983781555
OX359250.1	g343	NaN
OX359250.1	g344	0.021685454868040608
OX359250.1	g345	NaN
OX359250.1	g346	0.0
OX359250.1	g347	NaN
OX359250.1	g348	NaN
OX359250.1	g349	NaN
OX359250.1	g350	NaN
OX359250.1	g351	NaN
OX359250.1	g352	NaN
OX359250.1	g353	0.0
OX359250.1	g354	NaN
OX359250.1	g355	9.861932938856015e-05
OX359250.1	g356	NaN
OX359250.1	g357	NaN
OX359250.1	g358	0.0011816445988668733
OX359250.1	g359	0.001894477597802406
OX359250.1	g360	0.0008730574471800245
OX359250.1	g361	NaN
OX359250.1	g362	NaN
OX359250.1	g363	NaN
OX359250.1	g364	NaN
OX359250.1	g365	NaN
OX359250.1	g366	NaN
OX359250.1	g367	NaN
OX359250.1	g368	0.001456745853877185
OX359250.1	g369	0.0
OX359250.1	g370	0.008825715347454478
OX359250.1	g371	NaN
OX359250.1	g372	NaN
OX359250.1	g373	NaN
OX359250.1	g374	NaN
OX359250.1	g375	0.02568201193520887
OX359250.1	g376	NaN
OX359250.1	g377	NaN
OX359250.1	g378	0.0038866930171277993
OX359250.1	g379	0.005074966834372106
OX359250.1	g380	NaN
OX359250.1	g381	0.0020610952009025426
OX359250.1	g382	0.007560001320524245
OX359250.1	g383	NaN
OX359250.1	g384	NaN
OX359250.1	g385	NaN
OX359250.1	g386	NaN
OX359250.1	g387	0.00758605072463768
OX359250.1	g388	0.003676470588235294
OX359250.1	g389	NaN
OX359250.1	g390	NaN
OX359250.1	g391	NaN
OX359250.1	g392	NaN
OX359250.1	g393	0.022691705790297338
OX359250.1	g394	0.004398520904156975
OX359250.1	g395	NaN
OX359250.1	g396	NaN
OX359250.1	g397	NaN
OX359250.1	g398	0.0376864487464297
OX359250.1	g399	NaN
OX359250.1	g400	NaN
OX359250.1	g401	NaN
OX359250.1	g402	NaN
OX359250.1	g403	0.004289718348372983
OX359250.1	g404	0.013429951690821257
OX359250.1	g405	NaN
OX359250.1	g406	0.08677071720549981
OX359250.1	g407	0.0024634391090493347
OX359250.1	g408	0.0008026368760064412
OX359250.1	g409	0.003671497584541063
OX359250.1	g410	NaN
OX359250.1	g411	NaN
OX359250.1	g412	NaN
OX359250.1	g413	0.0006687427636044236
OX359250.1	g414	NaN
OX359250.1	g415	NaN
OX359250.1	g416	NaN
OX359250.1	g417	NaN
OX359250.1	g418	0.0
OX359250.1	g419	NaN
OX359250.1	g420	NaN
OX359250.1	g421	0.0
OX359250.1	g422	NaN
OX359250.1	g423	NaN
OX359250.1	g424	NaN
OX359250.1	g425	0.014492753623188404
OX359250.1	g426	NaN
OX359250.1	g427	NaN
OX359250.1	g428	0.0
OX359250.1	g429	NaN
OX359250.1	g430	0.0
OX359250.1	g431	NaN
OX359250.1	g432	0.010144927536231883
OX359250.1	g433	NaN
OX359250.1	g434	NaN
OX359250.1	g435	NaN
OX359250.1	g436	NaN
OX359250.1	g437	NaN
OX359250.1	g438	NaN
OX359250.1	g439	NaN
OX359250.1	g440	NaN
OX359250.1	g441	NaN
OX359250.1	g442	NaN
OX359250.1	g443	0.0
OX359250.1	g444	NaN
OX359250.1	g445	NaN
OX359250.1	g446	NaN
OX359250.1	g447	NaN
OX359250.1	g448	NaN
OX359250.1	g449	0.0
OX359250.1	g450	NaN
OX359250.1	g451	0.0005497251374312843
OX359250.1	g452	NaN
OX359250.1	g453	NaN
OX359250.1	g454	NaN
OX359250.1	g455	0.0
OX359250.1	g456	NaN
OX359250.1	g457	NaN
OX359250.1	g458	0.0
OX359250.1	g459	0.0
OX359250.1	g460	NaN
OX359250.1	g461	NaN
OX359250.1	g462	0.0007076189964350334
OX359250.1	g463	NaN
OX359250.1	g464	NaN
OX359250.1	g465	NaN
OX359250.1	g466	NaN
OX359250.1	g467	NaN
OX359250.1	g468	0.0023468379446640315
OX359250.1	g469	NaN
OX359250.1	g470	NaN
OX359250.1	g471	0.009513043478260869
OX359250.1	g472	NaN
OX359250.1	g473	NaN
OX359250.1	g474	NaN
OX359250.1	g475	NaN
OX359250.1	g476	NaN
OX359250.1	g477	NaN
OX359250.1	g478	NaN
OX359250.1	g479	0.0
OX359250.1	g480	NaN
OX359250.1	g481	NaN
OX359250.1	g482	NaN
OX359250.1	g483	NaN
OX359250.1	g484	NaN
OX359250.1	g485	NaN
OX359250.1	g486	NaN
OX359250.1	g487	0.001916703764158876
OX359250.1	g488	0.0966183574879227
OX359250.1	g489	0.012806819133785709
OX359250.1	g490	0.019122383252818037
OX359250.1	g491	NaN
OX359250.1	g492	NaN
OX359250.1	g493	NaN
OX359250.1	g494	NaN
OX359250.1	g495	0.009130434782608695
OX359250.1	g496	NaN
OX359250.1	g497	0.015745698579281788
OX359250.1	g498	NaN
OX359250.1	g499	0.04758207630878438
OX359250.1	g500	NaN
OX359250.1	g501	0.0034324942791762016
OX359250.1	g502	0.0056461842012543164
OX359250.1	g503	0.0016025641025641025
OX359250.1	g504	NaN
OX359250.1	g505	NaN
OX359250.1	g506	0.003198596014492753
OX359250.1	g507	0.008281573498964804
OX359250.1	g508	0.0
OX359250.1	g509	0.0033423210875182566
OX359250.1	g510	NaN
OX359250.1	g511	NaN
OX359250.1	g512	NaN
OX359250.1	g513	NaN
OX359250.1	g514	0.015636070853462154
OX359250.1	g515	0.06012087317337182
OX359250.1	g516	NaN
OX359250.1	g517	NaN
OX359250.1	g518	0.02386131522402313
OX359250.1	g519	NaN
OX359250.1	g520	NaN
OX359250.1	g521	NaN
OX359250.1	g522	NaN
OX359250.1	g523	NaN
OX359250.1	g524	NaN
OX359250.1	g525	NaN
OX359250.1	g526	NaN
OX359250.1	g527	NaN
OX359250.1	g528	0.0361911740758834
OX359250.1	g529	0.061663879598662215
OX359250.1	g530	NaN
OX359250.1	g531	NaN
OX359250.1	g532	NaN
OX359250.1	g533	NaN
OX359250.1	g534	NaN
OX359250.1	g535	NaN
OX359250.1	g536	NaN
OX359250.1	g537	NaN
OX359250.1	g538	NaN
OX359250.1	g539	NaN
OX359250.1	g540	NaN
OX359250.1	g541	NaN
OX359250.1	g542	NaN
OX359250.1	g543	NaN
OX359250.1	g544	NaN
OX359250.1	g545	NaN
OX359250.1	g546	0.0213899074559106
OX359250.1	g547	0.0037754232127633664
OX359250.1	g548	NaN
OX359250.1	g549	NaN
OX359250.1	g550	0.0005747126436781609
OX359250.1	g551	NaN
OX359250.1	g552	NaN
OX359250.1	g553	NaN
OX359250.1	g554	NaN
OX359250.1	g555	NaN
OX359250.1	g556	NaN
OX359250.1	g557	NaN
OX359250.1	g558	NaN
OX359250.1	g559	NaN
OX359250.1	g560	NaN
OX359250.1	g561	NaN
OX359250.1	g562	NaN
OX359250.1	g563	NaN
OX359250.1	g564	0.006135127871157147
OX359250.1	g565	NaN
OX359250.1	g566	NaN
OX359250.1	g567	0.029109025032938083
OX359250.1	g568	NaN
OX359250.1	g569	NaN
OX359250.1	g570	NaN
OX359250.1	g571	NaN
OX359250.1	g572	NaN
OX359250.1	g573	NaN
OX359250.1	g574	NaN
OX359250.1	g575	NaN
OX359250.1	g576	NaN
OX359250.1	g577	NaN
OX359250.1	g578	NaN
OX359250.1	g579	NaN
OX359250.1	g580	NaN
OX359250.1	g581	NaN
OX359250.1	g582	NaN
OX359250.1	g583	NaN
OX359250.1	g584	NaN
OX359250.1	g585	NaN
OX359250.1	g586	NaN
OX359250.1	g587	NaN
OX359250.1	g588	NaN
OX359250.1	g589	NaN
OX359250.1	g590	0.022814764492753624
OX359250.1	g591	NaN
OX359250.1	g592	NaN
OX359250.1	g593	NaN
OX359250.1	g594	NaN
OX359250.1	g595	NaN
OX359250.1	g596	NaN
OX359250.1	g597	0.0005230125523012552
OX359250.1	g598	NaN
OX359250.1	g599	NaN
OX359250.1	g600	NaN
OX359250.1	g601	NaN
OX359250.1	g602	0.004065969643299244
OX359250.1	g603	NaN
OX359250.1	g604	0.021604028494227462
OX359250.1	g605	NaN
OX359250.1	g606	NaN
OX359250.1	g607	NaN
OX359250.1	g608	NaN
OX359250.1	g609	NaN
OX359250.1	g610	NaN
OX359250.1	g611	NaN
OX359250.1	g612	NaN
OX359250.1	g613	NaN
OX359250.1	g614	NaN
OX359250.1	g615	NaN
OX359250.1	g616	NaN
OX359250.1	g617	NaN
OX359250.1	g618	NaN
OX359250.1	g619	NaN
OX359250.1	g620	NaN
OX359250.1	g621	NaN
OX359250.1	g622	NaN
OX359250.1	g623	NaN
OX359250.1	g624	NaN
OX359250.1	g625	NaN
OX359250.1	g626	NaN
OX359250.1	g627	NaN
OX359250.1	g628	NaN
OX359250.1	g629	NaN
OX359250.1	g630	NaN
OX359250.1	g631	0.00569309139840312
OX359250.1	g632	NaN
OX359250.1	g633	NaN
OX359250.1	g634	NaN
OX359250.1	g635	NaN
OX359250.1	g636	NaN
OX359250.1	g637	NaN
OX359250.1	g638	NaN
OX359250.1	g639	NaN
OX359250.1	g640	NaN
OX359250.1	g641	NaN
OX359250.1	g642	NaN
OX359250.1	g643	NaN
OX359250.1	g644	NaN
OX359250.1	g645	NaN
OX359250.1	g646	NaN
OX359250.1	g647	NaN
OX359250.1	g648	NaN
OX359250.1	g649	NaN
OX359250.1	g650	NaN
OX359250.1	g651	NaN
OX359250.1	g652	NaN
OX359250.1	g653	NaN
OX359250.1	g654	NaN
OX359250.1	g655	NaN
OX359250.1	g656	NaN
OX359250.1	g657	NaN
OX359250.1	g658	0.04607991874955223
OX359250.1	g659	NaN
OX359250.1	g660	NaN
OX359250.1	g661	NaN
OX359250.1	g662	0.0014633254069873788
OX359250.1	g663	NaN
OX359250.1	g664	0.0
OX359250.1	g665	0.007990083905415713
OX359250.1	g666	0.0018939393939393938
OX359250.1	g667	0.004806270334220644
OX359250.1	g668	NaN
OX359250.1	g669	0.07375337754851387
OX359250.1	g670	0.006931316950220541
OX359250.1	g671	NaN
OX359250.1	g672	NaN
OX359250.1	g673	NaN
OX359250.1	g674	NaN
OX359250.1	g675	NaN
OX359250.1	g676	NaN
OX359250.1	g677	0.0016469038208168643
OX359250.1	g678	0.002762246515897521
OX359250.1	g679	0.0071616238664293595
OX359250.1	g680	NaN
OX359250.1	g681	NaN
OX359250.1	g682	NaN
OX359250.1	g683	NaN
OX359250.1	g684	NaN
OX359250.1	g685	NaN
OX359250.1	g686	NaN
OX359250.1	g687	NaN
OX359250.1	g688	NaN
OX359250.1	g689	NaN
OX359250.1	g690	NaN
OX359250.1	g691	NaN
OX359250.1	g692	NaN
OX359250.1	g693	NaN
OX359250.1	g694	NaN
OX359250.1	g695	0.01633454106280193
OX359250.1	g696	NaN
OX359250.1	g697	NaN
OX359250.1	g698	NaN
OX359250.1	g699	NaN
OX359250.1	g700	NaN
OX359250.1	g701	NaN
OX359250.1	g702	NaN
OX359250.1	g703	NaN
OX359250.1	g704	NaN
OX359250.1	g705	NaN
OX359250.1	g706	NaN
OX359250.1	g707	NaN
OX359250.1	g708	NaN
OX359250.1	g709	0.002609190285403373
OX359250.1	g710	NaN
OX359250.1	g711	NaN
OX359250.1	g712	NaN
OX359250.1	g713	NaN
OX359250.1	g714	NaN
OX359250.1	g715	0.0016776827764639298
OX359250.1	g716	NaN
OX359250.1	g717	NaN
OX359250.1	g718	NaN
OX359250.1	g719	NaN
OX359250.1	g720	NaN
OX359250.1	g721	NaN
OX359250.1	g722	NaN
OX359250.1	g723	NaN
OX359250.1	g724	NaN
OX359250.1	g725	NaN
OX359250.1	g726	NaN
OX359250.1	g727	NaN
OX359250.1	g728	NaN
OX359250.1	g729	NaN
OX359250.1	g730	NaN
OX359250.1	g731	NaN
OX359250.1	g732	NaN
OX359250.1	g733	NaN
OX359250.1	g734	NaN
OX359250.1	g735	NaN
OX359250.1	g736	NaN
OX359250.1	g737	0.013070652173913044
OX359250.1	g738	NaN
OX359250.1	g739	NaN
OX359250.1	g740	NaN
OX359250.1	g741	NaN
OX359250.1	g742	NaN
OX359250.1	g743	NaN
OX359250.1	g744	NaN
OX359250.1	g745	NaN
OX359250.1	g746	NaN
OX359250.1	g747	NaN
OX359250.1	g748	NaN
OX359250.1	g749	NaN
OX359250.1	g750	NaN
OX359250.1	g751	NaN
OX359250.1	g752	NaN
OX359250.1	g753	NaN
OX359250.1	g754	NaN
OX359250.1	g755	NaN
OX359250.1	g756	NaN
OX359250.1	g757	NaN
OX359250.1	g758	0.059556159420289856
OX359250.1	g759	NaN
OX359250.1	g760	NaN
OX359250.1	g761	NaN
OX359250.1	g762	NaN
OX359250.1	g763	NaN
OX359250.1	g764	NaN
OX359250.1	g765	0.018018892339544516
OX359250.1	g766	NaN
OX359250.1	g767	0.01828524989841528
OX359250.1	g768	NaN
OX359250.1	g769	NaN
OX359250.1	g770	NaN
OX359250.1	g771	NaN
OX359250.1	g772	NaN
OX359250.1	g773	NaN
OX359250.1	g774	NaN
OX359250.1	g775	NaN
OX359250.1	g776	NaN
OX359250.1	g777	NaN
OX359250.1	g778	NaN
OX359250.1	g779	NaN
OX359250.1	g780	NaN
OX359250.1	g781	NaN
OX359250.1	g782	NaN
OX359250.1	g783	NaN
OX359250.1	g784	NaN
OX359250.1	g785	NaN
OX359250.1	g786	NaN
OX359250.1	g787	0.010638019493854733
OX359250.1	g788	NaN
OX359250.1	g789	NaN
OX359250.1	g790	NaN
OX359250.1	g791	NaN
OX359250.1	g792	NaN
OX359250.1	g793	NaN
OX359250.1	g794	NaN
OX359250.1	g795	NaN
OX359250.1	g796	NaN
OX359250.1	g797	NaN
OX359250.1	g798	NaN
OX359250.1	g799	NaN
OX359250.1	g800	0.00986887508626639
OX359250.1	g801	NaN
OX359250.1	g802	NaN
OX359250.1	g803	NaN
OX359250.1	g804	NaN
OX359250.1	g805	NaN
OX359250.1	g806	NaN
OX359250.1	g807	NaN
OX359250.1	g808	NaN
OX359250.1	g809	NaN
OX359250.1	g810	NaN
OX359250.1	g811	NaN
OX359250.1	g812	NaN
OX359250.1	g813	NaN
OX359250.1	g814	0.03623188405797101
OX359250.1	g815	NaN
OX359250.1	g816	NaN
OX359250.1	g817	NaN
OX359250.1	g818	NaN
OX359250.1	g819	NaN
OX359250.1	g820	NaN
OX359250.1	g821	NaN
OX359250.1	g822	NaN
OX359250.1	g823	NaN
OX359250.1	g824	NaN
OX359250.1	g825	NaN
OX359250.1	g826	NaN
OX359250.1	g827	0.0015729612002903929
OX359250.1	g828	NaN
OX359250.1	g829	NaN
OX359250.1	g830	NaN
OX359250.1	g831	NaN
OX359250.1	g832	NaN
OX359250.1	g833	NaN
OX359250.1	g834	NaN
OX359250.1	g835	NaN
OX359250.1	g836	NaN
OX359250.1	g837	NaN
OX359250.1	g838	NaN
OX359250.1	g839	NaN
OX359250.1	g840	NaN
OX359250.1	g841	NaN
OX359250.1	g842	NaN
OX359250.1	g843	NaN
OX359250.1	g844	0.001186353725791971
OX359250.1	g845	NaN
OX359250.1	g846	NaN
OX359250.1	g847	NaN
OX359250.1	g848	NaN
OX359250.1	g849	NaN
OX359250.1	g850	NaN
OX359250.1	g851	NaN
OX359250.1	g852	NaN
OX359250.1	g853	NaN
OX359250.1	g854	0.0
OX359250.1	g855	NaN
OX359250.1	g856	NaN
OX359250.1	g857	NaN
OX359250.1	g858	NaN
OX359250.1	g859	NaN
OX359250.1	g860	0.02104236343366778
OX359250.1	g861	0.0024098415908324904
OX359250.1	g862	NaN
OX359250.1	g863	NaN
OX359250.1	g864	NaN
OX359250.1	g865	NaN
OX359250.1	g866	NaN
OX359250.1	g867	NaN
OX359250.1	g868	NaN
OX359250.1	g869	NaN
OX359250.1	g870	NaN
OX359250.1	g871	0.013429951690821257
OX359250.1	g872	NaN
OX359250.1	g873	NaN
OX359250.1	g874	NaN
OX359250.1	g875	NaN
OX359250.1	g876	NaN
OX359250.1	g877	NaN
OX359250.1	g878	NaN
OX359250.1	g879	NaN
OX359250.1	g880	NaN
OX359250.1	g881	NaN
OX359250.1	g882	NaN
OX359250.1	g883	NaN
OX359250.1	g884	NaN
OX359250.1	g885	NaN
OX359250.1	g886	NaN
OX359250.1	g887	NaN
OX359250.1	g888	NaN
OX359250.1	g889	NaN
OX359250.1	g890	NaN
OX359250.1	g891	NaN
OX359250.1	g892	NaN
OX359250.1	g893	NaN
OX359250.1	g894	NaN
OX359250.1	g895	NaN
OX359250.1	g896	NaN
OX359250.1	g897	NaN
OX359250.1	g898	0.06461352657004832
OX359250.1	g899	NaN
OX359250.1	g900	NaN
OX359250.1	g901	0.0016645215181151295
OX359250.1	g902	NaN
OX359250.1	g903	NaN
OX359250.1	g904	NaN
OX359250.1	g905	NaN
OX359250.1	g906	NaN
OX359250.1	g907	NaN
OX359250.1	g908	NaN
OX359250.1	g909	NaN
OX359250.1	g910	NaN
OX359250.1	g911	NaN
OX359250.1	g912	NaN
OX359250.1	g913	NaN
OX359250.1	g914	NaN
OX359250.1	g915	NaN
OX359250.1	g916	0.0025466893039049238
OX359250.1	g917	NaN
OX359250.1	g918	NaN
OX359250.1	g919	0.015532742887815353
OX359250.1	g920	NaN
OX359250.1	g921	NaN
OX359250.1	g922	NaN
OX359250.1	g923	NaN
OX359250.1	g924	NaN
OX359250.1	g925	0.014794685990338168
OX359250.1	g926	NaN
OX359250.1	g927	NaN
OX359250.1	g928	NaN
OX359250.1	g929	NaN
OX359250.1	g930	NaN
OX359250.1	g931	NaN
OX359250.1	g932	0.0021332791548151157
OX359250.1	g933	NaN
OX359250.1	g934	0.007670259577732023
OX359250.1	g935	NaN
OX359250.1	g936	NaN
OX359250.1	g937	NaN
OX359250.1	g938	0.0018115942028985507
OX359250.1	g939	NaN
OX359250.1	g940	NaN
OX359250.1	g941	NaN
OX359250.1	g942	NaN
OX359250.1	g943	NaN
OX359250.1	g944	NaN
OX359250.1	g945	NaN
OX359250.1	g946	NaN
OX359250.1	g947	0.006551265962943825
OX359250.1	g948	NaN
OX359250.1	g949	NaN
OX359250.1	g950	NaN
OX359250.1	g951	NaN
OX359250.1	g952	NaN
OX359250.1	g953	NaN
OX359250.1	g954	NaN
OX359250.1	g955	NaN
OX359250.1	g956	NaN
OX359250.1	g957	NaN
OX359250.1	g958	NaN
OX359250.1	g959	NaN
OX359250.1	g960	NaN
OX359250.1	g961	NaN
OX359250.1	g962	NaN
OX359250.1	g963	NaN
OX359250.1	g964	NaN
OX359250.1	g965	NaN
OX359250.1	g966	NaN
OX359250.1	g967	NaN
OX359250.1	g968	NaN
OX359250.1	g969	NaN
OX359250.1	g970	NaN
OX359250.1	g971	NaN
OX359250.1	g972	NaN
OX359250.1	g973	NaN
OX359250.1	g974	NaN
OX359250.1	g975	NaN
OX359250.1	g976	NaN
OX359250.1	g977	NaN
OX359250.1	g978	NaN
OX359250.1	g979	NaN
OX359250.1	g980	NaN
OX359250.1	g981	NaN
OX359250.1	g982	NaN
OX359250.1	g983	NaN
OX359250.1	g984	0.04671674780370433
OX359250.1	g985	0.005110107284020327
OX359250.1	g986	0.03871755982473879
OX359250.1	g987	0.010322668854252119
OX359250.1	g988	0.009939287113200156
OX359250.1	g989	0.027351520318272236
OX359250.1	g990	0.0325928044749555
OX359250.1	g991	0.057439170323095326
OX359250.1	g992	NaN
OX359250.1	g993	NaN
OX359250.1	g994	NaN
OX359250.1	g995	0.010093167701863352
OX359250.1	g996	NaN
OX359250.1	g997	0.026465028355387527
OX359250.1	g998	0.0
OX359250.1	g999	NaN
OX359250.1	g1000	NaN
OX359250.1	g1001	0.0010691375623663579
OX359250.1	g1002	NaN
OX359250.1	g1003	NaN
OX359250.1	g1004	NaN
OX359250.1	g1005	NaN
OX359250.1	g1006	NaN
OX359250.1	g1007	NaN
OX359250.1	g1008	NaN
OX359250.1	g1009	NaN
OX359250.1	g1010	NaN
OX359250.1	g1011	NaN
OX359250.1	g1012	NaN
OX359250.1	g1013	NaN
OX359250.1	g1014	NaN
OX359250.1	g1015	NaN
OX359250.1	g1016	NaN
OX359250.1	g1017	NaN
OX359250.1	g1018	NaN
OX359250.1	g1019	NaN
OX359250.1	g1020	NaN
OX359250.1	g1021	NaN
OX359250.1	g1022	NaN
OX359250.1	g1023	NaN
OX359250.1	g1024	NaN
OX359250.1	g1025	NaN
OX359250.1	g1026	0.11191233651466952
OX359250.1	g1027	0.09170347981089669
OX359250.1	g1028	0.04873772791023843
OX359250.1	g1029	NaN
OX359250.1	g1030	0.05453852021357742
OX359250.1	g1031	0.02819739765153919
OX359250.1	g1032	NaN
OX359250.1	g1033	0.025362318840579712
OX359250.1	g1034	NaN
