chrom	window_start	window_end	WW5-5	WW2-6	WW5-3	WW5-6	WW5-4	WW1-4	WW2-1	WW5-1	WW3-1	WW1-2	BH3-2	WW2-5
CAMXBY010000019.1	0	200000	0.00062	0.0006	0.00046	0.000455	6.5e-05	0.000595	0.000455	0.00045	0.000605	0.000595	0.00061	0.00046
CAMXBY010000021.1	0	200000	0.0	1.5e-05	0.0	1e-05	1.5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMXBY010000022.1	0	200000	0.000115	9.5e-05	9.5e-05	5e-05	8.5e-05	7.5e-05	8e-05	7e-05	8e-05	0.000115	2e-05	8.5e-05
CAMXBY010000023.1	0	200000	2.5e-05	0.0	2.5e-05	0.0	0.0	2.5e-05	2.5e-05	2.5e-05	0.0	2.5e-05	2.5e-05	0.0
CAMXBY010000024.1	0	200000	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06	0.0	0.0
CAMXBY010000025.1	0	200000	4.5e-05	1e-05	5e-06	5.5e-05	4e-05	4.5e-05	1e-05	1e-05	5e-05	1e-05	0.0	0.0
CAMXBY010000027.1	0	200000	4e-05	5e-05	4.5e-05	5.5e-05	5e-06	0.0	3e-05	5e-06	4e-05	4e-05	4e-05	5e-06
CAMXBY010000027.1	200000	400000	1e-05	2e-05	1e-05	1.5e-05	5e-06	1e-05	1e-05	1e-05	2e-05	1.5e-05	1.5e-05	1e-05
CAMXBY010000029.1	0	200000	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMXBY010000030.1	0	200000	3e-05	0.00012	1.5e-05	7e-05	4e-05	4e-05	0.000105	9e-05	9e-05	4e-05	7e-05	8.5e-05
CAMXBY010000032.1	0	200000	0.0	5e-06	5e-06	0.0	0.0	0.00033	0.0	5e-06	0.0	0.0	0.0	0.0
CAMXBY010000035.1	0	200000	0.00129	2.5e-05	0.000525	1.5e-05	0.00139	3.5e-05	1.5e-05	0.001245	1.5e-05	2.5e-05	0.000545	0.0013
CAMXBY010000036.1	0	200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMXBY010000036.1	200000	400000	5e-06	1e-05	0.0	0.0	0.0	0.0	1e-05	0.0	1e-05	0.0	0.0	0.0
CAMXBY010000037.1	0	200000	0.00022	5e-06	0.000225	0.00023	1e-05	5e-06	0.00021	0.00021	5e-06	0.00021	5e-06	0.0
CAMXBY010000038.1	0	200000	0.00013	5e-06	1e-05	5e-06	1e-05	5e-06	5e-06	9e-05	5e-06	0.000235	5e-06	5e-06
CAMXBY010000039.1	0	200000	0.0	0.0	0.0	2.5e-05	0.00014	0.000135	0.000135	0.0	0.000135	5e-06	0.000145	2.5e-05
CAMXBY010000040.1	0	200000	7.5e-05	8.5e-05	6e-05	6e-05	7e-05	6.5e-05	0.001015	6.5e-05	9e-05	7e-05	6e-05	0.001
CAMXBY010000041.1	0	200000	0.00062	0.00022	0.000105	0.000245	0.000225	0.000715	0.00021	0.00024	0.0001	0.000225	0.000175	0.00016
CAMXBY010000042.1	0	200000	5e-06	5e-06	5e-06	0.0	0.0	5e-06	0.0	1e-05	0.0	5e-06	5e-06	5e-06
CAMXBY010000043.1	0	200000	1e-05	0.0	1e-05	0.0	1e-05	1e-05	1.5e-05	1e-05	1.5e-05	1e-05	5e-06	1.5e-05
CAMXBY010000043.1	200000	400000	5e-06	1e-05	5e-06	5e-06	1e-05	5e-06	5e-06	5e-06	5e-06	5e-06	1e-05	5e-06
CAMXBY010000044.1	0	200000	0.000185	1e-05	0.00015	1e-05	5e-06	3.5e-05	0.00011	0.000115	0.000175	0.00011	1.5e-05	0.00012
CAMXBY010000045.1	0	200000	3.5e-05	1.5e-05	1.5e-05	2e-05	1e-05	2e-05	3.5e-05	1.5e-05	1.5e-05	2e-05	0.0	2.5e-05
CAMXBY010000046.1	0	200000	0.0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMXBY010000047.1	0	200000	1e-05	1.5e-05	1e-05	2e-05	1e-05	1e-05	1.5e-05	1e-05	1.5e-05	1.5e-05	1e-05	1.5e-05
CAMXBY010000048.1	0	200000	2.5e-05	2e-05	2e-05	3e-05	2e-05	2.5e-05	2.5e-05	2e-05	2e-05	2e-05	2e-05	2.5e-05
CAMXBY010000049.1	0	200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAMXBY010000050.1	0	200000	9.5e-05	8.5e-05	0.0001	9.5e-05	0.0001	8.5e-05	9.5e-05	0.0001	9e-05	7.5e-05	1.5e-05	0.0001
CAMXBY010000050.1	200000	400000	2.5e-05	2.5e-05	2.5e-05	3e-05	3e-05	2e-05	2.5e-05	2.5e-05	2.5e-05	3.5e-05	3e-05	2.5e-05
CAMXBY010000051.1	0	200000	2e-05	0.0	1.5e-05	5e-06	5e-06	0.0	5e-06	1.5e-05	5e-06	5e-06	5e-06	1.5e-05
CAMXBY010000052.1	0	200000	0.00026	0.00039	0.000375	0.00031	0.000395	0.00036	0.000385	0.000385	0.00026	0.000255	0.00025	0.000315
CAMXBY010000053.1	0	200000	5e-06	0.0	5e-06	0.0	5e-06	0.0	0.0	5e-06	0.0	0.0	1e-05	5e-06
CAMXBY010000054.1	0	200000	0.0	0.0	0.0	5e-06	0.0	0.0	0.0	0.0	0.000135	7e-05	0.0	0.0
CAMXBY010000055.1	0	200000	0.00042	0.000305	0.000515	0.00048	0.000335	0.00064	0.00048	0.00022	0.00057	0.000385	0.00056	0.00056
CAMXBY010000055.1	200000	400000	6e-05	3e-05	0.0001	7.5e-05	0.000115	9e-05	9.5e-05	8.5e-05	5.5e-05	4.5e-05	0.000155	0.000125
CAMXBY010000057.1	0	200000	3.5e-05	2.5e-05	0.0	9e-05	1.5e-05	5e-05	4e-05	5.5e-05	2.5e-05	5.5e-05	1.5e-05	9e-05
CAMXBY010000058.1	0	200000	0.000105	3e-05	6e-05	3e-05	6e-05	5e-05	0.0001	5.5e-05	9e-05	3e-05	6.5e-05	5e-05
CAMXBY010000059.1	0	200000	4.5e-05	8e-05	8e-05	8e-05	7e-05	8e-05	4.5e-05	8e-05	7.5e-05	5e-05	9.5e-05	8e-05
CAMXBY010000060.1	0	200000	0.00114	0.00114	1.5e-05	3e-05	0.0	0.00114	1.5e-05	1.5e-05	0.00113	0.00115	0.000615	2e-05
CAMXBY010000061.1	0	200000	0.0	0.0	0.0	0.0	0.0	9e-05	9e-05	0.0	9e-05	0.0	9e-05	0.0
CAMXBY010000062.1	0	200000	5e-06	1e-05	5e-06	5e-06	5e-06	5e-06	1e-05	5e-06	1e-05	5e-06	0.0	5e-06
CAMXBY010000063.1	0	200000	0.000195	0.00016	0.00023	0.000185	0.000185	0.00019	0.0002	0.0002	0.000175	0.000175	0.00013	0.00021
CAMXBY010000064.1	0	200000	0.00039	0.00038	0.00023	0.00038	0.00036	0.000325	9.5e-05	0.000375	0.000105	1.5e-05	0.000305	0.000375
CAMXBY010000065.1	0	200000	0.00141	0.001495	0.000335	0.000435	3.5e-05	0.00038	0.001295	5.5e-05	0.000305	1e-05	0.00107	0.001525
CAMXBY010000067.1	0	200000	0.0	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.0
CAMXBY010000070.1	0	200000	2e-05	2e-05	0.0	0.0	2e-05	2e-05	0.0	0.0	0.0	5e-06	2e-05	0.0
CAMXBY010000071.1	0	200000	1e-05	1.5e-05	0.0002	0.000555	1e-05	0.000395	0.00045	0.00035	1e-05	0.000535	1e-05	0.00057
CAMXBY010000073.1	0	200000	5.5e-05	4e-05	5e-05	1.5e-05	5e-06	5.5e-05	5.5e-05	6e-05	1.5e-05	6e-05	3e-05	7.5e-05
CAMXBY010000074.1	0	200000	5e-06	0.0	0.0	5e-06	0.0	0.0	5e-06	5e-06	5e-06	5e-06	0.0	0.0
CAMXBY010000076.1	0	200000	0.00022	0.0002	0.00021	2.5e-05	0.0	0.00021	0.0	0.0	5e-06	5e-06	0.0	0.000215
CAMXBY010000078.1	0	200000	8.5e-05	0.000115	5e-05	5.5e-05	8.5e-05	5.5e-05	5e-05	5e-05	0.00011	5.5e-05	0.000125	5e-05
CAMXBY010000079.1	0	200000	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-06
CAMXBY010000080.1	0	200000	2.5e-05	2.5e-05	0.0	2.5e-05	0.0	0.0	2.5e-05	2.5e-05	2.5e-05	2.5e-05	0.0	2.5e-05
CAMXBY010000081.1	0	200000	0.000185	0.000165	0.00016	0.000395	0.00077	0.000815	0.00065	0.000245	0.00078	0.00076	0.00012	0.00023
CAMXBY010000083.1	0	200000	0.00061	0.000595	0.00061	0.00056	0.001235	0.00117	0.00126	0.00065	0.001205	0.00123	0.00054	0.00055
CAMXBY010000085.1	0	200000	5e-06	5e-06	5e-06	5e-06	0.0	0.0	0.0	5e-06	5e-06	5e-06	5e-06	0.0
CAMXBY010000086.1	0	200000	8.5e-05	7.5e-05	9.5e-05	0.00011	6.5e-05	7.5e-05	0.0001	9.5e-05	9e-05	7.5e-05	9e-05	0.000105
CAMXBY010000088.1	0	200000	4e-05	4e-05	2e-05	2e-05	5.5e-05	0.00011	0.00012	2.5e-05	4e-05	4e-05	8e-05	6e-05
CAMXBY010000089.1	0	200000	4.5e-05	4.5e-05	4e-05	4e-05	0.000575	0.000575	0.0006	4.5e-05	0.00057	0.000595	2e-05	2e-05
OX359245.1	0	200000	6e-05	5.5e-05	5.5e-05	0.000355	3.5e-05	4e-05	0.00029	5e-05	3.5e-05	5.5e-05	0.000305	4e-05
OX359245.1	200000	400000	0.001395	0.00113	0.00135	0.00111	0.0018	0.00195	0.001755	0.00204	0.002	0.00226	0.0014	0.00139
OX359245.1	400000	600000	0.00372	0.002195	0.00262	0.000625	0.002045	0.00201	0.00341	0.00233	0.002585	0.002305	0.00254	0.00246
OX359245.1	600000	800000	0.002755	0.001825	0.002155	0.00094	0.00186	0.00172	0.003085	0.00229	0.00207	0.003155	0.001415	0.0023
OX359245.1	800000	1000000	0.00027	0.00029	0.00025	0.000265	0.000315	0.000305	0.000265	0.000275	0.000325	0.00027	0.000125	0.000265
OX359245.1	1000000	1200000	0.00061	0.000645	0.00065	0.000585	0.000595	0.000625	0.000635	0.0006	0.000575	0.00061	0.000585	0.00063
OX359245.1	1200000	1400000	0.000705	0.000825	0.000805	0.00076	0.000765	0.00086	0.00073	0.000795	0.000845	0.00071	0.000775	0.000865
OX359245.1	1400000	1600000	0.00129	0.001385	0.00149	0.001465	0.00079	0.001835	0.00198	0.00178	0.001925	0.001885	0.00188	0.00162
OX359245.1	1600000	1800000	0.00015	0.0002	0.000115	9.5e-05	0.00014	0.00028	0.000105	0.000215	0.000115	0.000155	4e-05	0.00032
OX359245.1	1800000	2000000	0.00074	0.00064	0.00081	0.000645	0.00059	0.001095	0.000615	0.000725	0.00135	0.000685	0.000775	0.00078
OX359245.1	2000000	2200000	0.0001	0.000115	0.00012	0.00011	8e-05	6.5e-05	0.00011	5e-05	9e-05	6.5e-05	5e-05	0.0001
OX359245.1	2200000	2400000	0.00014	0.000195	0.00018	0.000145	0.00014	8e-05	0.00028	0.00011	0.00019	0.00011	0.000195	0.00015
OX359245.1	2400000	2600000	0.002725	0.00216	0.002885	0.00204	0.001705	0.002835	0.001355	0.00252	0.001975	0.00073	0.002	0.00293
OX359245.1	2600000	2800000	3.5e-05	3.5e-05	0.000165	0.000215	0.000115	0.00018	0.000235	0.000235	9.5e-05	6.5e-05	2.5e-05	0.00022
OX359245.1	2800000	3000000	1.5e-05	4.5e-05	8e-05	6e-05	2e-05	8e-05	8.5e-05	5e-05	0.0001	9e-05	6.5e-05	8.5e-05
OX359245.1	3000000	3200000	0.00254	0.000405	0.00024	0.002115	0.000385	0.00099	0.0007	0.00242	0.001105	0.00068	0.000175	0.000955
OX359245.1	3200000	3400000	0.002565	0.00101	0.00159	0.001815	0.00565	0.00092	0.001925	0.004905	0.002315	0.0055	0.000415	0.00127
OX359245.1	3400000	3600000	0.000325	6.5e-05	0.00032	4e-05	6e-05	5e-05	0.00027	5e-05	0.000605	0.00138	0.00085	0.000305
OX359245.1	3600000	3800000	0.00043	0.00039	0.000485	0.00039	0.000625	0.00028	0.00034	0.00025	0.000195	0.000435	0.0001	0.000435
OX359245.1	3800000	4000000	0.001375	0.000295	0.00232	0.000405	0.000575	0.000385	0.00049	0.001035	0.000395	0.00056	0.001305	0.00214
OX359245.1	4000000	4200000	0.000735	0.00219	0.001405	0.000745	0.001865	0.002545	0.00127	0.00098	0.002135	0.00251	0.00309	0.0017
OX359245.1	4200000	4400000	0.00279	0.00314	0.002295	0.00204	0.0025	0.002555	0.00261	0.00306	0.00181	0.00253	0.00289	0.0023
OX359245.1	4400000	4600000	0.00078	0.001015	0.000895	0.000925	0.001005	0.001185	0.00053	0.00092	0.00088	0.000405	0.00057	0.00119
OX359245.1	4600000	4800000	0.000195	0.00017	0.000375	0.00023	0.0004	0.000365	0.00036	0.000505	0.000465	0.00043	0.00021	0.000245
OX359245.1	4800000	5000000	0.00016	0.00019	0.0002	0.000235	0.00022	0.000195	0.00021	9e-05	0.00019	0.000135	0.000175	0.00016
OX359245.1	5000000	5200000	0.000275	0.000235	0.000205	0.00011	0.004865	0.000175	0.00456	0.00036	0.00013	0.000155	0.00288	0.00022
OX359245.1	5200000	5400000	0.00093	0.00087	0.0008	0.000875	0.00624	0.00182	0.006115	0.00094	0.000895	0.000855	0.001015	0.000495
OX359245.1	5400000	5600000	0.003915	0.004955	0.004195	0.003795	0.00632	0.00646	0.006095	0.00324	0.003685	0.00333	0.00078	0.003865
OX359245.1	5600000	5800000	0.00201	0.00489	0.003215	0.00203	0.004615	0.004505	0.005175	0.00523	0.00199	0.001545	0.0009	0.00259
OX359245.1	5800000	6000000	0.0002	0.000115	4.5e-05	0.0	0.000205	0.000185	4.5e-05	0.000105	1e-05	7.5e-05	0.000215	4.5e-05
OX359245.1	6000000	6200000	0.000145	9e-05	4e-05	7e-05	0.000125	3.5e-05	9.5e-05	0.0001	0.000125	9e-05	1.5e-05	5e-05
OX359245.1	6200000	6400000	0.000365	0.00033	0.00032	0.000145	0.000165	9.5e-05	0.0002	0.00025	0.0003	9.5e-05	0.000355	0.0001
OX359245.1	6400000	6600000	0.00073	0.001275	6e-05	3.5e-05	0.000685	0.00058	6e-05	0.00071	0.00156	8e-05	0.001015	0.0013
OX359245.1	6600000	6800000	3.5e-05	3.5e-05	7e-05	4e-05	5e-05	0.000105	9.5e-05	4e-05	6.5e-05	4.5e-05	5e-05	4.5e-05
OX359245.1	6800000	7000000	2.5e-05	3.5e-05	2.5e-05	2e-05	2.5e-05	3e-05	2e-05	2.5e-05	3e-05	2e-05	3.5e-05	3.5e-05
OX359245.1	7000000	7200000	4e-05	0.00041	0.001095	0.000905	0.00098	0.001115	0.00116	0.001095	0.001145	0.000755	0.00022	0.001065
OX359245.1	7200000	7400000	0.00022	0.001065	0.001315	0.000945	0.00102	0.00114	0.001325	0.00096	0.000515	0.000735	0.000995	0.00129
OX359245.1	7400000	7600000	0.001865	0.00165	0.00277	0.00204	0.001915	0.00284	0.002985	0.002005	0.001885	0.001505	0.00161	0.00285
OX359245.1	7600000	7800000	0.00072	0.000445	0.000715	0.00066	0.00073	0.001175	0.00122	0.00071	0.000425	0.000745	0.0008	0.001275
OX359245.1	7800000	8000000	0.00048	0.000715	0.00076	0.00051	0.000465	0.00096	0.00103	0.00058	0.000705	0.00066	0.00083	0.001005
OX359245.1	8000000	8200000	0.00123	0.003735	0.003445	0.000995	0.00095	0.00361	0.001445	0.00155	0.001335	0.0019	0.00326	0.00359
OX359245.1	8200000	8400000	0.00193	0.004915	0.005065	0.00178	0.003175	0.00407	0.00379	0.002345	0.00235	0.00147	0.00403	0.0053
OX359245.1	8400000	8600000	3e-05	2.5e-05	4e-05	0.0	3e-05	3.5e-05	2.5e-05	3e-05	3e-05	2.5e-05	1e-05	1e-05
OX359245.1	8600000	8800000	0.00018	0.000225	0.00019	7e-05	2.5e-05	0.000225	0.000205	0.00018	0.00021	5.5e-05	0.000225	0.00011
OX359245.1	8800000	9000000	0.00025	0.000275	0.00013	0.00021	1e-05	0.00027	0.000275	0.000195	0.00025	0.00028	0.000275	1e-05
OX359245.1	9000000	9200000	1.5e-05	5e-06	1.5e-05	1.5e-05	1e-05	1.5e-05	5e-06	1.5e-05	1e-05	3e-05	3.5e-05	2e-05
OX359245.1	9200000	9400000	0.0	0.0	0.0	5e-06	5e-06	0.0	5e-06	5e-06	0.0	5e-06	2e-05	2.5e-05
OX359245.1	9400000	9600000	0.00028	0.000325	0.00051	0.000135	0.00065	0.000475	0.000165	0.00065	0.00043	0.00028	0.000385	0.000705
OX359245.1	9600000	9800000	0.00031	0.00053	0.00044	1e-05	0.000395	0.00061	0.000445	0.000575	0.000425	0.00045	0.000575	0.000575
OX359245.1	9800000	10000000	1.5e-05	1e-05	2e-05	5e-06	2e-05	5e-06	1.5e-05	1.5e-05	1.5e-05	1e-05	5e-06	2e-05
OX359245.1	10000000	10200000	0.00015	0.00046	0.000455	0.000195	0.00025	0.00045	0.000305	0.00045	0.000205	0.000255	0.00017	0.00041
OX359245.1	10200000	10400000	8e-05	0.00062	0.00072	0.00037	0.00056	0.00074	0.000605	0.000585	0.000545	0.00071	0.000615	0.00062
OX359245.1	10400000	10600000	0.00051	0.000525	0.0007	0.00048	0.000595	0.000425	0.00016	0.00065	0.000485	0.00074	0.00043	0.000665
OX359245.1	10600000	10800000	0.00032	0.000265	0.000415	0.00018	0.00037	0.000405	0.00028	1.5e-05	0.0003	0.00034	0.00025	0.00033
OX359245.1	10800000	11000000	0.002635	0.00263	0.00274	0.001005	0.00289	0.00186	0.00185	0.000915	0.00101	0.00271	0.0023	0.002875
OX359245.1	11000000	11200000	0.005435	0.00749	0.00505	0.002145	0.00711	0.007805	0.003255	0.00111	0.001455	0.006265	0.00463	0.007145
OX359245.1	11200000	11400000	0.004605	0.005345	0.002875	0.003935	0.00247	0.00569	0.002395	0.002575	0.003435	0.00885	0.00408	0.00191
OX359245.1	11400000	11600000	0.006095	9e-05	0.00047	0.001645	0.00171	0.00017	0.001955	0.000105	0.00012	0.010195	0.00355	8.5e-05
OX359245.1	11600000	11800000	0.00231	0.00244	0.00084	0.00033	0.00028	0.000495	0.003725	0.002695	0.00087	0.00512	0.0046	0.000335
OX359245.1	11800000	12000000	0.00399	0.00448	0.002095	0.0025	0.00082	0.002305	0.003565	0.00367	0.002	0.006315	0.01153	0.00085
OX359245.1	12000000	12200000	0.002915	0.003665	0.004305	0.004255	0.001925	0.00375	0.00402	0.001895	0.00381	0.004645	0.005035	0.001945
OX359245.1	12200000	12400000	0.000895	0.000595	0.00127	0.0003	0.00068	0.0009	0.00092	0.000685	0.00081	0.000855	0.003425	0.00116
OX359245.1	12400000	12600000	0.00038	8.5e-05	0.00011	0.000325	0.00038	0.00013	0.00034	0.00037	0.00725	0.00039	0.00336	0.00034
OX359245.1	12600000	12800000	0.00104	0.00138	0.00318	0.000755	0.004655	0.00166	0.000985	0.00121	0.00105	0.00193	0.00329	0.00061
OX359245.1	12800000	13000000	0.00429	0.00166	0.001825	0.00212	0.007125	0.005315	0.00376	0.0037	0.003845	0.005025	0.008505	0.0027
OX359245.1	13000000	13200000	0.004665	0.00387	0.002775	0.00433	0.004805	0.002325	0.00126	0.00506	0.002605	0.00388	0.00497	0.004005
OX359245.1	13200000	13400000	0.002965	0.00354	0.00072	0.003075	0.00178	0.00377	0.003605	0.005615	0.00309	0.002265	0.005995	0.005375
OX359245.1	13400000	13600000	0.00341	0.002675	0.003635	0.004325	0.00181	0.00414	0.00583	0.003675	0.00226	0.00283	0.00616	0.00447
OX359245.1	13600000	13800000	0.00136	0.001135	0.001225	0.0031	0.001905	0.00341	0.003385	0.004125	0.00277	0.001865	0.00302	0.001035
OX359245.1	13800000	14000000	0.003025	0.002095	0.00251	0.002895	0.00234	0.00171	0.001445	0.002435	0.00209	0.004355	0.004975	0.001965
OX359245.1	14000000	14200000	0.00227	0.00294	0.003255	0.001155	0.00272	0.00192	0.000385	0.00262	0.00116	0.003525	0.005005	0.000815
OX359245.1	14200000	14400000	3e-05	0.000235	0.00144	3e-05	2.5e-05	4e-05	0.000805	4e-05	4e-05	0.001345	0.002475	0.000195
OX359245.1	14400000	14600000	0.001615	0.002665	0.001125	0.00111	0.0035	0.00255	0.001565	0.000325	0.00289	0.00266	0.006615	0.000965
OX359245.1	14600000	14800000	0.00092	0.0026	0.000725	0.000985	0.002345	0.00161	0.00127	0.00086	0.001	0.00054	0.00682	0.001165
OX359245.1	14800000	15000000	0.00373	0.005725	0.004035	0.00474	0.00385	0.003275	0.00325	0.00423	0.000965	0.00321	0.007315	0.00313
OX359245.1	15000000	15200000	0.002825	0.00295	0.002105	0.00242	0.00249	0.00168	0.001655	0.002145	0.002235	0.002375	0.006885	0.002395
OX359245.1	15200000	15400000	0.00193	0.002235	0.00216	0.002065	0.001815	0.001445	0.001985	0.00301	0.002835	0.000585	0.00878	0.00108
OX359245.1	15400000	15600000	0.002725	0.00296	0.00289	0.002365	0.002575	0.0022	0.002505	0.002695	0.00285	0.00263	0.00425	0.00266
OX359245.1	15600000	15800000	0.00047	0.000395	0.000395	0.000355	0.000385	0.00095	0.000425	0.000435	0.001045	0.000395	0.006245	0.00067
OX359245.1	15800000	16000000	0.001075	0.001155	0.000775	0.002615	0.00317	0.003295	0.0031	0.002465	0.000495	0.002555	0.00538	0.002465
OX359245.1	16000000	16200000	0.00543	0.00605	0.00427	0.003965	0.00142	0.00479	0.0047	0.00499	0.0036	0.002675	0.007515	0.002825
OX359245.1	16200000	16400000	0.00225	0.00383	0.004825	0.00553	0.002415	0.00382	0.00347	0.004135	0.00246	0.00303	0.003985	0.00206
OX359245.1	16400000	16600000	0.001615	0.003175	0.004345	0.003255	0.005475	0.004795	0.00553	0.00245	0.00254	0.006095	0.008915	0.005225
OX359245.1	16600000	16800000	0.006205	0.003565	0.00519	0.005615	0.00343	0.00277	0.007005	0.005705	0.00721	0.001445	0.00857	0.00707
OX359245.1	16800000	17000000	0.0052	0.002095	0.001465	0.00582	0.00248	0.00178	0.002345	0.003285	0.00244	0.00131	0.002535	0.002485
OX359245.1	17000000	17200000	0.00149	0.001345	0.00187	0.00203	0.00204	0.0024	0.002345	0.001995	0.002215	0.0021	0.00377	0.001345
OX359245.1	17200000	17400000	0.000585	0.002075	0.00157	0.00202	0.00105	0.00098	0.001085	0.00202	0.000765	0.00058	0.002975	0.000815
OX359245.1	17400000	17600000												
OX359245.1	17600000	17800000	0.000355	0.00018	0.003275	0.00275	0.001835	0.00223	0.00037	0.00102	0.00322	0.001185	0.00392	0.00038
OX359245.1	17800000	18000000	4e-05	2.5e-05	0.003475	3e-05	4e-05	0.001445	0.000645	4.5e-05	4e-05	0.0011	0.00335	3.5e-05
OX359245.1	18000000	18200000	0.001295	0.0011	0.003115	0.000875	0.00049	0.00062	0.004955	0.00026	0.0023	0.000115	0.00534	0.00371
OX359245.1	18200000	18400000	0.00225	0.00122	0.002705	0.000105	0.00233	0.00196	5e-05	0.002255	0.000225	9e-05	0.005135	0.00019
OX359245.1	18400000	18600000	0.000135	0.00014	0.000505	0.000465	0.000535	0.000155	0.0002	0.000585	0.000295	0.0001	0.00603	0.0006
OX359245.1	18600000	18800000	0.00058	0.000545	0.000605	0.00047	0.00051	0.000545	0.000575	0.000565	0.000595	0.00058	0.007735	0.000555
OX359245.1	18800000	19000000	0.001	0.001015	0.00257	0.001045	0.001	0.001	0.00103	0.00107	0.00105	0.0011	0.00456	0.001045
OX359245.1	19000000	19200000	4e-05	3.5e-05	0.000755	0.00098	0.00102	9.5e-05	0.000225	0.000135	3e-05	2e-05	0.006195	0.00011
OX359245.1	19200000	19400000	0.00033	0.00331	0.000325	0.00024	0.000325	0.003195	0.000575	0.000405	0.00034	0.00019	0.006175	0.00086
OX359245.1	19400000	19600000	0.001275	0.002025	0.000515	0.001155	0.00048	0.00024	0.00094	0.001835	0.000835	0.000135	0.00534	0.00037
OX359245.1	19600000	19800000	0.000145	0.00039	0.000125	0.00032	9e-05	4.5e-05	0.0001	0.0002	0.000235	2.5e-05	3e-05	0.000165
OX359245.1	19800000	20000000	2.5e-05	4.5e-05	6.5e-05	7e-05	9.5e-05	2.5e-05	0.00022	0.00011	2.5e-05	5e-05	3e-05	5.5e-05
OX359245.1	20000000	20200000	0.00028	0.000225	0.00038	4.5e-05	0.000315	0.000355	9e-05	0.002045	0.000595	0.000195	0.000625	0.00039
OX359245.1	20200000	20400000	0.00061	0.00043	0.00091	0.00145	0.00084	0.001	0.001585	0.00225	0.00251	0.00063	0.00091	0.001095
OX359245.1	20400000	20600000	0.002435	0.00278	0.003935	0.002555	0.002655	0.002275	0.0011	0.00233	0.00322	0.00046	0.00053	0.002605
